step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-0.000945,-0.003737,0.002791,2.702729,2.706466,9,15,0.1166,2561,0.6068,0.417,0.3436,0.2086,,64,1.6
42,pretrain,0,2,-0.122148,-0.341099,0.218952,2.170191,2.51129,7,15,0.2785,2561,0.6193,0.4447,0.3189,0.1801,,64,1.8
63,pretrain,0,3,-0.269578,-0.676858,0.40728,1.80193,2.478788,13,15,0.3136,2561,0.6169,0.6051,0.5057,0.3152,,64,2.0
84,pretrain,0,4,-0.435267,-0.848836,0.413569,1.598255,2.447091,13,15,0.4453,2561,0.6009,0.6606,0.5949,0.4942,,64,2.2
105,pretrain,0,5,-0.579434,-1.098502,0.519069,1.320443,2.418945,11,15,0.5583,2561,0.6142,0.6334,0.5872,0.459,,64,2.4
126,pretrain,0,6,-0.773661,-1.283458,0.509797,1.003881,2.287339,9,12,0.6918,2561,0.6142,0.6752,0.6238,0.5368,,64,2.6
147,pretrain,0,7,-0.906254,-1.420234,0.51398,0.845515,2.265749,12,12,0.7106,2561,0.6177,0.7006,0.6304,0.5648,,64,2.7
168,pretrain,0,8,-0.992724,-1.518313,0.525589,0.74818,2.266492,11,12,0.6984,2561,0.6119,0.7056,0.645,0.5743,,64,2.9
189,pretrain,0,9,-1.07448,-1.549366,0.474886,0.708453,2.257819,10,12,0.7222,2561,0.6146,0.7175,0.6537,0.5591,,64,3.1
210,pretrain,0,10,-1.131651,-1.607214,0.475563,0.654647,2.261861,11,12,0.74,2561,0.6099,0.7155,0.6618,0.591,,64,3.3
231,round,1,1,-0.732043,-1.417679,0.685636,0.876418,2.294097,10,12,0.6451,2561,0.5213,0.6914,0.6242,0.5475,1,23,3.6
252,round,1,2,-0.917476,-1.377776,0.4603,0.923913,2.301688,9,12,0.6677,2561,0.5252,0.6784,0.6088,0.5154,1,23,3.8
273,round,2,1,-0.875934,-1.390227,0.514294,0.871939,2.262166,9,11,0.6628,2561,0.4955,0.6489,0.5677,0.4981,1,18,4.1
294,round,2,2,-0.923399,-1.371957,0.448558,0.83824,2.210198,9,11,0.6609,2561,0.4885,0.635,0.5558,0.484,1,18,4.3
315,round,3,1,-0.824594,-1.291403,0.46681,0.951465,2.242868,9,12,0.6289,2561,0.5076,0.6376,0.5463,0.4826,1,19,4.5
336,round,3,2,-0.934248,-1.359912,0.425664,0.907159,2.267071,10,12,0.6236,2561,0.5053,0.6689,0.6078,0.539,1,19,4.6
357,round,4,1,-0.948869,-1.475827,0.526958,0.836644,2.312471,10,12,0.6631,2561,0.51,0.6854,0.6381,0.5635,1,20,4.8
378,round,4,2,-1.015705,-1.493994,0.478289,0.813422,2.307416,12,12,0.66,2561,0.5154,0.6741,0.6171,0.5481,1,20,5.0
399,round,5,1,-1.068374,-1.542564,0.47419,0.777049,2.319613,12,12,0.6692,2561,0.5299,0.6729,0.6007,0.5341,1,23,5.2
420,round,5,2,-1.135168,-1.559668,0.424501,0.746123,2.305791,11,12,0.6942,2561,0.5174,0.6752,0.6387,0.5477,1,23,5.3
441,round,6,1,-1.154537,-1.600799,0.446263,0.699879,2.300679,11,12,0.6725,2561,0.5205,0.6613,0.6051,0.5306,1,23,5.6
462,round,6,2,-1.204019,-1.607002,0.402982,0.703508,2.310509,11,12,0.6866,2561,0.5295,0.6753,0.6177,0.5276,1,23,5.7
483,round,7,1,-1.110116,-1.581845,0.471729,0.693136,2.274981,12,12,0.6997,2561,0.5252,0.6579,0.5735,0.5099,1,21,6.1
504,round,7,2,-1.12703,-1.597709,0.470679,0.688614,2.286323,11,12,0.6853,2561,0.5322,0.668,0.6144,0.5315,1,21,6.2
525,round,8,1,-1.184093,-1.619444,0.43535,0.659329,2.278773,12,12,0.6885,2561,0.5267,0.6607,0.5764,0.513,1,22,6.6
546,round,8,2,-1.24819,-1.614121,0.365932,0.663341,2.277462,12,12,0.7101,2561,0.5221,0.6565,0.5762,0.5025,1,22,6.7
567,round,9,1,-1.195975,-1.642635,0.44666,0.62959,2.272225,12,11,0.7045,2561,0.5467,0.6716,0.6078,0.5347,1,20,7.1
588,round,9,2,-1.239188,-1.617879,0.378692,0.63681,2.254689,10,12,0.7166,2561,0.533,0.6654,0.5999,0.5065,1,20,7.2
609,round,10,1,-1.06502,-1.539703,0.474684,0.722967,2.262671,10,12,0.657,2561,0.4772,0.648,0.6263,0.5548,1,18,7.5
630,round,10,2,-1.106755,-1.484838,0.378083,0.728611,2.213449,10,10,0.7297,2561,0.5057,0.6407,0.5859,0.4909,1,18,7.7
651,round,11,1,-1.099148,-1.552171,0.453023,0.578318,2.13049,9,9,0.8403,2561,0.4986,0.6616,0.6227,0.5418,1,18,8.0
672,round,11,2,-1.235483,-1.630671,0.395189,0.415013,2.045684,9,9,0.8415,2561,0.4947,0.6568,0.6177,0.5422,1,18,8.1
693,round,12,1,-1.170595,-1.668508,0.497913,0.387537,2.056045,9,10,0.8231,2561,0.4924,0.6571,0.604,0.5032,1,19,8.4
714,round,12,2,-1.24377,-1.649626,0.405856,0.412495,2.06212,9,9,0.8685,2561,0.5146,0.6657,0.6144,0.5185,1,19,8.5
735,round,13,1,-0.974817,-1.45522,0.480404,0.63645,2.091671,9,10,0.7393,2561,0.4514,0.6174,0.5718,0.4583,1,16,8.8
756,round,13,2,-1.044822,-1.478483,0.433661,0.614785,2.093268,9,10,0.8333,2561,0.4377,0.6489,0.5999,0.5063,1,16,9.0
777,round,14,1,-1.185402,-1.611886,0.426484,0.423008,2.034894,9,9,0.8992,2561,0.5271,0.659,0.6028,0.505,1,19,9.3
798,round,14,2,-1.228876,-1.676262,0.447385,0.325164,2.001425,9,9,0.893,2561,0.5107,0.6526,0.6036,0.5068,1,19,9.5
819,round,15,1,-1.089887,-1.537066,0.447179,0.350003,1.887069,8,8,0.9034,2561,0.4643,0.611,0.5342,0.4287,1,16,9.8
840,round,15,2,-1.163713,-1.542081,0.378368,0.286529,1.82861,9,9,0.9032,2561,0.4955,0.6106,0.5346,0.4269,1,16,10.0
861,round,16,1,-1.144395,-1.544032,0.399638,0.272323,1.816355,8,8,0.9281,2561,0.4248,0.6091,0.523,0.4264,1,16,10.3
882,round,16,2,-1.199603,-1.556804,0.357201,0.24779,1.804594,8,8,0.9191,2561,0.4479,0.6091,0.529,0.4271,1,16,10.5
903,round,17,1,-1.119163,-1.576329,0.457165,0.230359,1.806687,8,8,0.9281,2561,0.4522,0.6122,0.5284,0.4233,1,16,10.8
924,round,17,2,-1.254079,-1.587049,0.332971,0.220768,1.807817,8,8,0.9234,2561,0.4686,0.6114,0.5296,0.4202,1,16,11.0
945,round,18,1,-1.079911,-1.513724,0.433813,0.271008,1.784732,8,8,0.8888,2561,0.4943,0.5935,0.4991,0.4105,1,16,11.3
966,round,18,2,-1.171574,-1.505748,0.334175,0.302642,1.808391,8,8,0.897,2561,0.4627,0.5895,0.5128,0.4059,1,16,11.5
987,round,19,1,-1.222392,-1.561639,0.339247,0.255464,1.817103,8,8,0.9259,2561,0.449,0.614,0.534,0.4291,1,16,11.8
1008,round,19,2,-1.319383,-1.624317,0.304934,0.186901,1.811218,8,8,0.9412,2561,0.4744,0.6186,0.5369,0.43,1,16,12.0
1029,round,20,1,-1.2439,-1.583458,0.339558,0.225925,1.809383,8,8,0.9302,2561,0.4459,0.613,0.5325,0.4315,1,15,12.3
1050,round,20,2,-1.299962,-1.606529,0.306567,0.207968,1.814496,8,8,0.9259,2561,0.4194,0.6053,0.5257,0.4137,1,15,12.5
