step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
21,pretrain,0,1,-1.71151,-1.71151,2.358188,2.217394,2.619269,12,15,0.4732,2561,0.6103,0.2475,0.2511,0.1004,,64,1.4
42,pretrain,0,2,-3.102976,-3.102976,10.028021,0.788041,2.594011,15,15,0.8786,2561,0.6146,0.3999,0.3374,0.1996,,64,1.5
63,pretrain,0,3,-3.76926,-3.76926,13.027795,0.183051,2.634875,15,15,0.9547,2561,0.6185,0.4439,0.3442,0.2243,,64,1.7
84,pretrain,0,4,-3.851835,-3.851835,13.958131,0.087539,2.626249,15,14,0.9705,2561,0.6064,0.4587,0.3646,0.2417,,64,1.8
105,pretrain,0,5,-3.893141,-3.893141,14.266054,0.067053,2.640129,15,15,0.9737,2561,0.6072,0.4528,0.3746,0.2312,,64,2.0
126,pretrain,0,6,-3.917825,-3.917825,14.238793,0.058124,2.650633,15,15,0.9784,2561,0.6224,0.463,0.3804,0.241,,64,2.1
147,pretrain,0,7,-3.891367,-3.891367,14.414056,0.045647,2.624676,15,15,0.9809,2561,0.6041,0.4662,0.3791,0.2482,,64,2.3
168,pretrain,0,8,-3.945122,-3.945122,14.886414,0.043091,2.658809,15,15,0.9813,2561,0.6111,0.4629,0.3704,0.25,,64,2.5
189,pretrain,0,9,-3.939586,-3.939586,14.68193,0.038643,2.652152,15,15,0.9809,2561,0.6185,0.444,0.3827,0.2313,,64,2.8
210,pretrain,0,10,-3.898212,-3.898212,14.957784,0.048209,2.630948,15,15,0.9816,2561,0.6158,0.4478,0.3877,0.2353,,64,3.0
231,round,1,1,-3.903299,-3.903299,16.002886,0.040548,2.629232,15,15,0.9828,2561,0.5111,0.4355,0.3733,0.225,1,24,3.7
252,round,1,2,-3.924632,-3.924632,15.794917,0.034366,2.639332,15,15,0.9865,2561,0.5353,0.4532,0.3739,0.2413,1,24,4.0
273,round,2,1,-3.940252,-3.940252,16.075266,0.034293,2.649697,15,15,0.9867,2561,0.5412,0.4351,0.3727,0.2205,1,24,6.5
294,round,2,2,-3.939431,-3.939431,16.156832,0.030125,2.646371,15,15,0.9871,2561,0.5365,0.4427,0.3731,0.2329,1,24,6.7
315,round,3,1,-3.946189,-3.946189,15.992353,0.029636,2.65055,15,15,0.9887,2561,0.5381,0.4394,0.3798,0.2209,1,24,7.3
336,round,3,2,-3.965844,-3.965844,16.000731,0.028702,2.66303,15,15,0.9889,2561,0.5498,0.4479,0.3681,0.2274,1,24,7.5
357,round,4,1,-3.936803,-3.936803,15.778374,0.026932,2.64249,15,15,0.9898,2561,0.5545,0.4641,0.4093,0.2484,1,26,8.0
378,round,4,2,-3.963933,-3.963933,15.791157,0.025424,2.659572,15,15,0.991,2561,0.5513,0.464,0.4003,0.2387,1,26,8.2
399,round,5,1,-3.959955,-3.959955,16.111978,0.024353,2.656206,15,15,0.9907,2561,0.5205,0.4625,0.3877,0.2449,1,22,9.9
420,round,5,2,-3.959278,-3.959278,16.123064,0.020951,2.653486,15,15,0.9922,2561,0.5205,0.466,0.3935,0.2445,1,22,10.1
441,round,6,1,-3.958115,-3.958115,15.785716,0.021304,2.652946,15,15,0.9933,2561,0.5674,0.4603,0.3831,0.2317,1,25,11.0
462,round,6,2,-3.982616,-3.982616,15.893538,0.01943,2.66803,15,15,0.9909,2561,0.5435,0.4649,0.3812,0.2377,1,25,11.2
483,round,7,1,-3.949369,-3.949369,15.959656,0.020217,2.646391,15,15,0.9925,2561,0.5463,0.4683,0.3904,0.2529,1,24,13.1
504,round,7,2,-3.952855,-3.952855,16.078331,0.017526,2.646921,15,15,0.9932,2561,0.5443,0.4728,0.3976,0.2484,1,24,13.3
