step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-1.233572,-1.731593,0.498021,0.979738,2.711332,14,15,0.922,14942,0.9209,0.742,0.3771,0.3553,,85,2.1
234,pretrain,0,2,-1.902222,-2.303618,0.401396,0.151017,2.454636,14,14,0.9626,14942,0.9216,0.755,0.3789,0.358,,85,3.1
351,pretrain,0,3,-2.10097,-2.362323,0.261352,0.115164,2.477487,15,15,0.9732,14942,0.9216,0.7632,0.3966,0.3682,,85,4.1
468,pretrain,0,4,-2.172765,-2.388888,0.216124,0.083896,2.472785,15,15,0.9726,14942,0.919,0.762,0.3978,0.3656,,85,5.1
585,pretrain,0,5,-2.241813,-2.404475,0.162661,0.070594,2.475068,15,15,0.9784,14942,0.92,0.7701,0.3985,0.3684,,85,6.1
702,pretrain,0,6,-2.252858,-2.407303,0.154446,0.066607,2.47391,15,15,0.9812,14942,0.9192,0.7654,0.3978,0.364,,85,7.1
819,pretrain,0,7,-2.28169,-2.413872,0.132182,0.057952,2.471824,15,15,0.9834,14942,0.9229,0.7692,0.397,0.367,,85,8.1
936,pretrain,0,8,-2.283549,-2.413935,0.130385,0.059027,2.472961,15,15,0.9831,14942,0.9208,0.7709,0.3986,0.3687,,85,9.2
1053,pretrain,0,9,-2.280618,-2.412513,0.131895,0.05948,2.471993,16,16,0.9834,14942,0.9188,0.7708,0.3985,0.3692,,85,10.2
1170,pretrain,0,10,-2.29481,-2.416042,0.121232,0.058048,2.47409,18,16,0.9795,14942,0.9195,0.7709,0.3984,0.3697,,85,11.2
1287,round,1,1,-2.279481,-2.419577,0.140096,0.045414,2.464992,15,15,0.9937,14942,0.9216,0.7705,0.3988,0.3696,1,73,32.3
1404,round,1,2,-2.293787,-2.418422,0.124636,0.030433,2.448855,15,15,0.9895,14942,0.9224,0.7711,0.3987,0.3696,1,73,33.3
1521,round,2,1,-2.296074,-2.41798,0.121905,0.032042,2.450022,15,15,0.9928,14942,0.9196,0.7709,0.3986,0.3697,1,64,54.5
1638,round,2,2,-2.289786,-2.413912,0.124126,0.039368,2.45328,15,15,0.993,14942,0.9195,0.771,0.3987,0.3697,1,64,55.5
1755,round,3,1,-2.301587,-2.420413,0.118827,0.03154,2.451953,15,15,0.9941,14942,0.9197,0.7705,0.3988,0.3696,1,64,76.8
1872,round,3,2,-2.301154,-2.419206,0.118052,0.03372,2.452926,15,15,0.994,14942,0.9199,0.7708,0.3988,0.3698,1,64,77.9
1989,round,4,1,-2.28278,-2.421066,0.138286,0.032252,2.453318,15,15,0.9947,14942,0.9188,0.7709,0.3988,0.3697,1,63,99.2
2106,round,4,2,-2.125493,-2.346821,0.221328,0.050318,2.397139,13,13,0.9755,14942,0.9234,0.7393,0.3579,0.3423,1,63,100.4
2223,round,5,1,-2.023072,-2.32442,0.301348,0.071736,2.396156,14,14,0.9805,14942,0.9228,0.7607,0.385,0.3683,1,53,121.7
2340,round,5,2,-2.142488,-2.412421,0.269933,0.080784,2.493205,16,16,0.9753,14942,0.9198,0.7737,0.4167,0.3777,1,53,122.9
2457,round,6,1,-2.248533,-2.485601,0.237068,0.089461,2.575062,18,18,0.9711,14942,0.9212,0.7898,0.4557,0.4106,1,67,144.2
2574,round,6,2,-2.299373,-2.525088,0.225715,0.073041,2.598129,18,18,0.9756,14942,0.9238,0.793,0.4536,0.4145,1,67,145.4
2691,round,7,1,-2.367107,-2.539466,0.172359,0.059539,2.599005,18,18,0.9809,14942,0.9205,0.7958,0.459,0.4177,1,79,166.7
2808,round,7,2,-2.407209,-2.556043,0.148834,0.057753,2.613795,19,18,0.9819,14942,0.9184,0.7991,0.459,0.4239,1,79,167.8
2925,round,8,1,-2.429008,-2.567236,0.138228,0.050079,2.617315,19,18,0.9851,14942,0.922,0.7982,0.4584,0.4242,1,73,189.1
3042,round,8,2,-2.432084,-2.569293,0.137208,0.048254,2.617547,18,18,0.9871,14942,0.9202,0.7981,0.4587,0.424,1,73,190.3
3159,round,9,1,-2.452179,-2.575775,0.123596,0.043835,2.61961,20,18,0.9862,14942,0.922,0.7981,0.4587,0.4243,1,75,211.6
3276,round,9,2,-2.436894,-2.57182,0.134926,0.048879,2.620699,18,18,0.9851,14942,0.9185,0.7984,0.4583,0.4238,1,75,212.7
3393,round,10,1,-2.413008,-2.574566,0.161557,0.045867,2.620433,20,18,0.9886,14942,0.9204,0.7977,0.4584,0.4241,1,75,234.0
3510,round,10,2,-2.429689,-2.57503,0.145341,0.044423,2.619453,19,17,0.9892,14942,0.9228,0.7966,0.4585,0.4246,1,75,235.2
3627,round,11,1,-2.387357,-2.568197,0.180841,0.049727,2.617924,19,17,0.987,14942,0.9223,0.797,0.4582,0.4248,1,74,256.5
3744,round,11,2,-2.394075,-2.569398,0.175323,0.050017,2.619414,19,18,0.9857,14942,0.9228,0.7967,0.458,0.4243,1,74,257.7
3861,round,12,1,-2.424793,-2.573962,0.149169,0.05061,2.624572,20,18,0.983,14942,0.9183,0.7986,0.4589,0.4244,1,75,278.9
3978,round,12,2,-2.441528,-2.575728,0.1342,0.049182,2.624911,23,18,0.987,14942,0.9234,0.7981,0.4585,0.4244,1,75,280.1
4095,round,13,1,-2.425048,-2.595089,0.170041,0.046661,2.64175,22,18,0.9911,14942,0.9243,0.8017,0.4822,0.4266,2,48,321.5
4212,round,13,2,-2.425196,-2.608841,0.183646,0.041089,2.64993,24,18,0.9855,14942,0.9245,0.8042,0.4826,0.4299,2,48,322.6
4329,round,14,1,-2.423743,-2.613047,0.189305,0.042397,2.655444,22,18,0.9921,14942,0.9216,0.8036,0.4817,0.4302,2,55,364.0
4446,round,14,2,-2.423927,-2.620119,0.196192,0.046375,2.666494,23,19,0.9883,14942,0.9186,0.8089,0.4977,0.436,2,55,365.2
4563,round,15,1,-2.433988,-2.639538,0.20555,0.048437,2.687975,23,19,0.9864,14942,0.9205,0.8083,0.4966,0.4354,2,50,406.5
4680,round,15,2,-2.460672,-2.64037,0.179698,0.050953,2.691323,23,19,0.9896,14942,0.9213,0.8074,0.4976,0.4367,2,50,407.7
4797,round,16,1,-2.463817,-2.641105,0.177288,0.04805,2.689155,24,19,0.9859,14942,0.9219,0.8095,0.4992,0.4378,2,47,430.7
4914,round,16,2,-2.477674,-2.643503,0.16583,0.046664,2.690167,25,19,0.9915,14942,0.9227,0.8093,0.499,0.4365,2,47,431.8
5031,round,17,1,-2.459899,-2.647684,0.187784,0.043732,2.691416,25,19,0.9924,14942,0.9206,0.8096,0.4981,0.4373,2,52,473.2
5148,round,17,2,-2.488867,-2.652796,0.163929,0.039642,2.692438,26,19,0.9903,14942,0.9204,0.8098,0.4985,0.4376,2,52,474.4
5265,round,18,1,-2.471951,-2.652143,0.180192,0.041771,2.693913,26,19,0.989,14942,0.9192,0.8072,0.4974,0.4379,2,61,515.7
5382,round,18,2,-2.477043,-2.656602,0.179559,0.043178,2.69978,27,19,0.99,14942,0.9222,0.8095,0.4982,0.4375,2,61,516.9
5499,round,19,1,-2.501049,-2.654826,0.153777,0.043841,2.698667,26,19,0.9901,14942,0.9234,0.809,0.4977,0.4373,2,59,558.2
5616,round,19,2,-2.495862,-2.656838,0.160976,0.044121,2.700959,26,19,0.9891,14942,0.9175,0.8093,0.4977,0.4359,2,59,559.3
5733,round,20,1,-2.491409,-2.65628,0.164871,0.045455,2.701736,27,19,0.9913,14942,0.9188,0.8089,0.4981,0.4381,2,54,600.7
5850,round,20,2,-2.493363,-2.661727,0.168363,0.037498,2.699224,26,19,0.9935,14942,0.9226,0.8095,0.4983,0.4376,2,54,601.9
