step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-2.871158,-3.247198,0.376041,2.523128,3.846884,50,50,0.4958,14892,0.9215,0.8243,0.6856,0.6466,,85,2.2
234,pretrain,0,2,-4.125945,-4.695092,0.569148,1.005375,3.800311,50,50,0.6374,14892,0.9169,0.8734,0.7475,0.724,,85,3.1
351,pretrain,0,3,-4.487943,-4.978212,0.490268,0.699342,3.785035,49,50,0.6685,14892,0.9188,0.8923,0.7794,0.7533,,85,4.1
468,pretrain,0,4,-4.654904,-5.065924,0.41102,0.60585,3.781183,50,50,0.7036,14892,0.9237,0.8966,0.7896,0.7665,,85,5.2
585,pretrain,0,5,-4.765223,-5.128947,0.363723,0.555444,3.789594,50,50,0.7195,14892,0.921,0.8989,0.7692,0.7621,,85,6.4
702,pretrain,0,6,-4.829095,-5.154012,0.324917,0.526864,3.787251,50,50,0.7271,14892,0.9181,0.9117,0.8079,0.7937,,85,7.6
819,pretrain,0,7,-4.854516,-5.180418,0.325902,0.49006,3.780318,50,50,0.7481,14892,0.9198,0.9133,0.8146,0.7987,,85,8.8
936,pretrain,0,8,-4.877597,-5.198335,0.320738,0.481094,3.786286,50,50,0.7548,14892,0.9192,0.9147,0.8225,0.8124,,85,10.0
1053,pretrain,0,9,-4.925868,-5.227481,0.301613,0.449919,3.784933,50,50,0.7711,14892,0.9221,0.9143,0.8054,0.7936,,85,11.3
1170,pretrain,0,10,-4.956975,-5.244777,0.287802,0.439906,3.789789,50,50,0.7708,14892,0.9171,0.9147,0.824,0.8116,,85,12.5
1287,round,1,1,-4.937696,-5.251726,0.31403,0.43223,3.789304,50,50,0.7712,14892,0.9239,0.915,0.8158,0.8081,3,63,254.4
1404,round,1,2,-4.953217,-5.252709,0.299492,0.42871,3.787613,50,50,0.7769,14892,0.9205,0.9166,0.8011,0.8102,3,63,255.6
1521,round,2,1,-4.882943,-5.241564,0.35862,0.439921,3.787656,50,50,0.7732,14892,0.9189,0.9162,0.7968,0.7975,4,50,499.4
1638,round,2,2,-4.972856,-5.267883,0.295028,0.420577,3.792306,50,50,0.7794,14892,0.9201,0.9192,0.8285,0.8207,4,50,500.6
1755,round,3,1,-4.989708,-5.268072,0.278364,0.411461,3.786355,50,50,0.7774,14892,0.9204,0.9158,0.8156,0.8035,4,49,624.5
1872,round,3,2,-4.982897,-5.266984,0.284087,0.414515,3.787666,50,50,0.7722,14892,0.9171,0.9148,0.8098,0.799,4,49,625.6
1989,round,4,1,-4.964097,-5.271753,0.307656,0.410442,3.78813,50,50,0.7746,14892,0.919,0.9184,0.8333,0.8237,3,65,747.1
2106,round,4,2,-5.005713,-5.274417,0.268705,0.403556,3.785315,50,50,0.7764,14892,0.92,0.917,0.8261,0.819,3,65,748.3
2223,round,5,1,-4.992693,-5.276526,0.283833,0.400891,3.784945,50,50,0.7808,14892,0.9219,0.9234,0.8396,0.833,4,50,991.9
2340,round,5,2,-5.018207,-5.282487,0.26428,0.401455,3.789295,50,50,0.7828,14892,0.9202,0.9211,0.8392,0.8385,4,50,993.0
2457,round,6,1,-4.99341,-5.277507,0.284097,0.403437,3.787296,49,50,0.7795,14892,0.9203,0.9215,0.8336,0.8265,4,51,1116.7
2574,round,6,2,-4.979037,-5.270533,0.291496,0.404948,3.783654,50,50,0.7785,14892,0.9181,0.9174,0.8221,0.8188,4,51,1117.8
2691,round,7,1,-4.936832,-5.271776,0.334944,0.407588,3.786243,50,50,0.7858,14892,0.9198,0.9199,0.8273,0.8254,3,65,1239.4
2808,round,7,2,-4.939099,-5.269891,0.330793,0.406991,3.784588,50,50,0.7826,14892,0.9171,0.9255,0.8549,0.8449,3,65,1240.6
2925,round,8,1,-4.926228,-5.267112,0.340884,0.411275,3.785592,50,50,0.7793,14892,0.9203,0.9202,0.8458,0.8377,4,50,1484.9
3042,round,8,2,-4.975515,-5.278532,0.303017,0.396983,3.783677,50,50,0.7827,14892,0.9231,0.9181,0.8181,0.8177,4,50,1486.0
3159,round,9,1,-5.013574,-5.291617,0.278043,0.390891,3.788339,50,50,0.7822,14892,0.9201,0.9169,0.8115,0.8078,3,69,1607.4
3276,round,9,2,-5.013425,-5.284976,0.271551,0.391879,3.78457,50,50,0.7876,14892,0.9173,0.9218,0.8342,0.8327,3,69,1608.6
3393,round,10,1,-4.994715,-5.283282,0.288567,0.39864,3.787948,50,50,0.7892,14892,0.9194,0.9222,0.8428,0.828,3,65,1850.5
3510,round,10,2,-5.01534,-5.286594,0.271254,0.393689,3.786855,50,50,0.7887,14892,0.9169,0.9237,0.8394,0.836,3,65,1851.7
3627,round,11,1,-5.007445,-5.28617,0.278725,0.39362,3.786527,50,50,0.7847,14892,0.9207,0.9189,0.8183,0.8169,4,53,2095.8
3744,round,11,2,-5.01658,-5.295371,0.278791,0.382185,3.785037,50,50,0.8007,14892,0.9204,0.9208,0.8126,0.8202,4,53,2097.0
3861,round,12,1,-5.024404,-5.304724,0.28032,0.366627,3.780901,50,50,0.8125,14892,0.9233,0.9232,0.8247,0.8313,4,53,2220.7
3978,round,12,2,-5.029586,-5.318037,0.288451,0.358009,3.784031,50,50,0.8072,14892,0.9199,0.9221,0.8261,0.8283,4,53,2221.9
4095,round,13,1,-5.036098,-5.311637,0.275539,0.367135,3.785848,50,50,0.8153,14892,0.9198,0.9213,0.8068,0.8153,4,51,2345.4
4212,round,13,2,-5.043129,-5.311789,0.26866,0.359149,3.780625,50,50,0.8154,14892,0.9202,0.9249,0.8437,0.8368,4,51,2346.6
4329,round,14,1,-5.061534,-5.320244,0.258711,0.352858,3.782068,49,50,0.8203,14892,0.9219,0.9269,0.848,0.8446,4,49,2470.8
4446,round,14,2,-5.071194,-5.328823,0.257629,0.346105,3.783285,50,50,0.8122,14892,0.9202,0.9215,0.8365,0.8281,4,49,2472.0
4563,round,15,1,-5.051841,-5.325885,0.274044,0.350458,3.784229,50,50,0.8225,14892,0.9186,0.9306,0.8609,0.8585,4,47,2595.9
4680,round,15,2,-5.067225,-5.323575,0.25635,0.347179,3.780503,50,50,0.8226,14892,0.92,0.9267,0.8486,0.8406,4,47,2597.0
4797,round,16,1,-5.033757,-5.324988,0.291231,0.339958,3.77663,50,50,0.8268,14892,0.9172,0.9237,0.8211,0.8264,4,50,2721.1
4914,round,16,2,-4.988766,-5.323411,0.334645,0.34315,3.777707,50,50,0.8281,14892,0.9194,0.928,0.8526,0.8544,4,50,2722.2
5031,round,17,1,-5.004594,-5.332949,0.328355,0.333802,3.777834,50,50,0.8365,14892,0.9204,0.9285,0.858,0.8543,4,53,2845.8
5148,round,17,2,-5.030704,-5.333201,0.302498,0.332,3.776801,50,50,0.8296,14892,0.9208,0.9273,0.8571,0.8496,4,53,2847.0
5265,round,18,1,-5.037392,-5.340315,0.302922,0.324887,3.776801,50,50,0.8291,14892,0.9236,0.929,0.8632,0.8527,4,52,2970.9
