step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-2.846365,-3.263438,0.417073,2.469701,3.822093,46,50,0.5035,14855,0.9216,0.8217,0.6481,0.6237,,85,2.2
234,pretrain,0,2,-4.147982,-4.719235,0.571253,0.905657,3.749928,48,49,0.6447,14855,0.9188,0.8755,0.7235,0.697,,85,3.4
351,pretrain,0,3,-4.473717,-4.94903,0.475313,0.675433,3.749642,50,50,0.7024,14855,0.9208,0.8978,0.7776,0.7635,,85,4.6
468,pretrain,0,4,-4.635438,-5.030797,0.395359,0.574714,3.737007,49,50,0.7344,14855,0.9214,0.9013,0.7566,0.7515,,85,5.8
585,pretrain,0,5,-4.730196,-5.082838,0.352642,0.517152,3.733327,50,50,0.7319,14855,0.9208,0.9018,0.7603,0.7606,,85,6.9
702,pretrain,0,6,-4.792156,-5.108702,0.316545,0.492341,3.734028,50,50,0.7535,14855,0.9183,0.9049,0.787,0.7726,,85,8.1
819,pretrain,0,7,-4.838861,-5.129279,0.290418,0.46743,3.731139,50,50,0.7643,14855,0.9206,0.9043,0.7684,0.7515,,85,9.3
936,pretrain,0,8,-4.842834,-5.132688,0.289854,0.462961,3.730433,50,50,0.7628,14855,0.9179,0.9068,0.7824,0.7703,,85,10.4
1053,pretrain,0,9,-4.887147,-5.154115,0.266968,0.442902,3.731344,50,50,0.7732,14855,0.9216,0.9072,0.759,0.7552,,85,11.6
1170,pretrain,0,10,-4.887192,-5.164814,0.277622,0.430478,3.730195,50,50,0.7781,14855,0.9198,0.9161,0.8014,0.7906,,85,12.8
1287,round,1,1,-4.886789,-5.16669,0.279902,0.432191,3.732587,48,50,0.778,14855,0.9194,0.9082,0.7799,0.7639,,85,14.0
1404,round,1,2,-4.90037,-5.173768,0.273398,0.425066,3.732556,49,50,0.7737,14855,0.9178,0.9114,0.7851,0.7787,,85,15.2
1521,round,2,1,-4.921981,-5.180012,0.258031,0.420063,3.733383,49,50,0.7696,14855,0.9215,0.9072,0.7653,0.7565,,85,16.4
1638,round,2,2,-4.927159,-5.180108,0.252948,0.417549,3.731771,50,50,0.7846,14855,0.9227,0.9107,0.7934,0.7789,,85,17.6
1755,round,3,1,-4.931124,-5.189208,0.258084,0.412317,3.73435,48,50,0.7801,14855,0.9227,0.9156,0.7945,0.7946,,85,18.8
1872,round,3,2,-4.928316,-5.190579,0.262262,0.409811,3.733593,50,50,0.779,14855,0.9214,0.9091,0.7685,0.7631,,85,20.0
1989,round,4,1,-4.921923,-5.18172,0.259797,0.415148,3.731245,50,50,0.7741,14855,0.9185,0.9107,0.7862,0.7792,,85,21.2
2106,round,4,2,-4.920156,-5.185278,0.265122,0.414577,3.733237,49,50,0.7734,14855,0.9194,0.9125,0.795,0.7776,,85,22.4
2223,round,5,1,-4.934651,-5.185185,0.250534,0.414098,3.732855,50,50,0.7741,14855,0.92,0.9078,0.7925,0.7745,,85,23.6
2340,round,5,2,-4.907324,-5.180042,0.272718,0.424218,3.736173,50,50,0.7796,14855,0.9165,0.9091,0.7686,0.7661,,85,24.8
2457,round,6,1,-4.855974,-5.172392,0.316419,0.427321,3.733143,50,50,0.7682,14855,0.9204,0.9064,0.8042,0.7877,,85,26.0
2574,round,6,2,-4.700746,-5.151917,0.45117,0.442821,3.729825,49,50,0.7818,14855,0.92,0.9107,0.7722,0.7696,,85,27.2
2691,round,7,1,-4.730263,-5.154291,0.424028,0.440931,3.730148,50,50,0.7811,14855,0.9218,0.9085,0.7903,0.7767,,85,28.4
2808,round,7,2,-4.866968,-5.175808,0.308839,0.428201,3.736005,50,50,0.7741,14855,0.9197,0.9118,0.7921,0.7852,,85,29.6
2925,round,8,1,-4.91117,-5.181504,0.270334,0.415757,3.731507,49,50,0.7841,14855,0.9188,0.9122,0.7957,0.7865,,85,30.8
3042,round,8,2,-4.925958,-5.190225,0.264267,0.408192,3.732278,49,49,0.7847,14855,0.9206,0.9046,0.7658,0.7551,,85,32.0
3159,round,9,1,-4.94788,-5.191989,0.244109,0.406067,3.732037,50,50,0.7935,14855,0.9211,0.9119,0.7953,0.7822,,85,33.2
3276,round,9,2,-4.928652,-5.19257,0.263918,0.409025,3.734397,50,50,0.7885,14855,0.9166,0.9116,0.7759,0.7736,,85,34.4
3393,round,10,1,-4.94245,-5.196487,0.254037,0.402628,3.732743,50,50,0.7858,14855,0.9194,0.9142,0.817,0.8003,,85,35.6
3510,round,10,2,-4.950279,-5.197342,0.247064,0.402415,3.733171,50,50,0.7879,14855,0.9187,0.9106,0.7905,0.7805,,85,36.8
3627,round,11,1,-4.948223,-5.196573,0.24835,0.403999,3.733715,50,50,0.7881,14855,0.9188,0.9121,0.7992,0.7875,,85,38.0
3744,round,11,2,-4.946748,-5.203073,0.256325,0.396055,3.732752,49,50,0.7809,14855,0.9198,0.9168,0.8083,0.8085,,85,39.2
3861,round,12,1,-4.942952,-5.199202,0.25625,0.40063,3.733221,50,50,0.7827,14855,0.9197,0.9144,0.7987,0.7969,,85,40.4
3978,round,12,2,-4.949444,-5.200185,0.250741,0.400784,3.733979,50,50,0.7819,14855,0.9196,0.907,0.7677,0.7601,,85,41.6
4095,round,13,1,-4.952996,-5.206024,0.253029,0.395734,3.734506,50,50,0.788,14855,0.9195,0.9109,0.7921,0.7899,,85,42.8
4212,round,13,2,-4.964356,-5.207033,0.242677,0.390575,3.731739,50,50,0.7901,14855,0.9212,0.9126,0.7885,0.784,,85,44.0
4329,round,14,1,-4.958581,-5.203477,0.244896,0.393601,3.731385,50,50,0.7811,14855,0.9184,0.9129,0.8047,0.7909,,85,45.2
4446,round,14,2,-4.962221,-5.20497,0.242749,0.398145,3.73541,49,50,0.7894,14855,0.9206,0.9192,0.8165,0.8095,,85,46.4
4563,round,15,1,-4.968921,-5.206354,0.237433,0.396829,3.735455,50,50,0.7893,14855,0.9189,0.9179,0.8147,0.8105,,85,47.6
4680,round,15,2,-4.956909,-5.200993,0.244084,0.396291,3.731522,50,50,0.7908,14855,0.9206,0.9146,0.8008,0.7951,,85,48.8
4797,round,16,1,-4.962377,-5.20669,0.244314,0.3955,3.734794,50,50,0.7852,14855,0.9185,0.9141,0.7915,0.7858,,85,50.0
4914,round,16,2,-4.972248,-5.209341,0.237092,0.392627,3.734645,50,50,0.7886,14855,0.9202,0.9179,0.8099,0.8168,,85,51.2
5031,round,17,1,-4.961266,-5.20267,0.241404,0.395887,3.732371,50,50,0.7887,14855,0.9192,0.9166,0.8095,0.8032,,85,52.5
5148,round,17,2,-4.973085,-5.209321,0.236236,0.390117,3.732959,50,50,0.7949,14855,0.9203,0.9183,0.8056,0.8069,,85,53.6
5265,round,18,1,-4.963326,-5.20767,0.244345,0.393023,3.733795,50,50,0.7825,14855,0.9187,0.9155,0.8024,0.8064,,85,54.9
5382,round,18,2,-4.962627,-5.200948,0.238321,0.399288,3.733491,50,50,0.7897,14855,0.9164,0.9158,0.8008,0.8003,,85,56.0
5499,round,19,1,-4.970141,-5.206391,0.23625,0.394634,3.734016,50,50,0.7996,14855,0.9192,0.9193,0.812,0.8173,,85,57.3
5616,round,19,2,-4.975267,-5.210024,0.234757,0.385244,3.730179,50,50,0.7922,14855,0.921,0.9104,0.7807,0.7795,,85,58.4
5733,round,20,1,-4.965629,-5.208388,0.242759,0.387301,3.730459,50,50,0.7943,14855,0.919,0.9113,0.7936,0.7901,,85,59.7
5850,round,20,2,-4.985419,-5.212842,0.227423,0.38289,3.730488,50,50,0.7938,14855,0.9215,0.9182,0.8213,0.8194,,85,60.9
