step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,same_class_pair_frac,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
117,pretrain,0,1,-4.480824,-4.480824,8.451581,0.884022,3.576564,41,40,0.958,14855,0.9216,0.6463,0.5378,0.4171,,85,2.2
234,pretrain,0,2,-5.183302,-5.183302,11.375701,0.072555,3.503904,38,38,0.9794,14855,0.9188,0.6777,0.5847,0.4705,,85,3.4
351,pretrain,0,3,-5.192825,-5.192825,11.262062,0.043008,3.490555,38,38,0.9847,14855,0.9208,0.696,0.6101,0.4946,,85,4.6
468,pretrain,0,4,-5.234131,-5.234131,11.501019,0.035457,3.513059,38,37,0.9866,14855,0.9214,0.6997,0.6263,0.5176,,85,5.8
585,pretrain,0,5,-5.238068,-5.238068,11.33502,0.029537,3.511736,38,38,0.9888,14855,0.9208,0.7074,0.6226,0.5021,,85,6.9
702,pretrain,0,6,-5.253363,-5.253363,11.413156,0.025043,3.518937,38,38,0.9911,14855,0.9183,0.7068,0.6212,0.5125,,85,8.0
819,pretrain,0,7,-5.208582,-5.208582,11.236494,0.02105,3.486421,38,37,0.9909,14855,0.9206,0.7151,0.6408,0.5322,,85,9.2
936,pretrain,0,8,-5.222929,-5.222929,10.705348,0.017462,3.493594,38,38,0.9919,14855,0.9179,0.7239,0.6428,0.5372,,85,10.4
1053,pretrain,0,9,-5.281054,-5.281054,10.913952,0.017048,3.532068,38,38,0.9937,14855,0.9216,0.7304,0.6486,0.5374,,85,11.5
1170,pretrain,0,10,-5.264999,-5.264999,10.753404,0.015756,3.520504,38,38,0.9947,14855,0.9198,0.7496,0.6685,0.5698,,85,12.7
1287,round,1,1,-5.279779,-5.279779,10.480094,0.012989,3.528513,38,38,0.9934,14855,0.9194,0.7219,0.6248,0.5179,3,46,41.7
1404,round,1,2,-5.269807,-5.269807,10.78005,0.014338,3.522763,38,38,0.9951,14855,0.9178,0.7468,0.6681,0.58,3,46,42.8
1521,round,2,1,-5.281881,-5.281881,10.561922,0.012142,3.529349,38,38,0.9948,14855,0.9215,0.748,0.6845,0.5875,3,46,73.2
1638,round,2,2,-5.27724,-5.27724,10.513425,0.011212,3.525635,38,38,0.9952,14855,0.9227,0.7386,0.6571,0.5426,3,46,74.4
1755,round,3,1,-5.274265,-5.274265,10.269506,0.009913,3.522786,38,38,0.9963,14855,0.9227,0.7541,0.6925,0.5967,3,47,102.4
1872,round,3,2,-5.263724,-5.263724,10.545515,0.010372,3.516064,38,38,0.9963,14855,0.9214,0.754,0.6986,0.6012,3,47,103.6
1989,round,4,1,-5.26867,-5.26867,10.660372,0.009567,3.518825,38,38,0.9962,14855,0.9185,0.7495,0.6882,0.561,3,48,145.1
2106,round,4,2,-5.245072,-5.245072,10.61489,0.009861,3.503288,38,38,0.9955,14855,0.9194,0.7333,0.6608,0.551,3,48,146.3
2223,round,5,1,-5.24789,-5.24789,10.639242,0.00958,3.50498,38,38,0.9969,14855,0.92,0.7584,0.7105,0.6106,3,48,187.8
2340,round,5,2,-5.292356,-5.292356,10.76549,0.008532,3.533926,38,38,0.9963,14855,0.9165,0.7404,0.6734,0.5623,3,48,189.0
2457,round,6,1,-5.276944,-5.276944,10.798564,0.008826,3.523847,38,38,0.9962,14855,0.9204,0.7279,0.6514,0.5186,3,53,230.5
2574,round,6,2,-5.271903,-5.271903,11.336838,0.008804,3.520471,38,38,0.9968,14855,0.92,0.7321,0.6626,0.5398,3,53,231.7
2691,round,7,1,-5.266455,-5.266455,11.092609,0.007177,3.515754,38,38,0.9967,14855,0.9218,0.7152,0.6386,0.4905,3,47,261.0
2808,round,7,2,-5.274112,-5.274112,10.782169,0.006598,3.520473,38,38,0.9967,14855,0.9197,0.7243,0.6481,0.5261,3,47,262.2
2925,round,8,1,-5.277466,-5.277466,10.772729,0.006866,3.522888,38,38,0.9973,14855,0.9188,0.7298,0.6622,0.5449,3,48,291.7
3042,round,8,2,-5.291216,-5.291216,11.161478,0.006766,3.531988,38,38,0.9971,14855,0.9206,0.7307,0.6516,0.5407,3,48,292.8
3159,round,9,1,-5.268539,-5.268539,10.970544,0.005881,3.51628,38,38,0.9975,14855,0.9211,0.7385,0.6732,0.562,3,46,324.1
3276,round,9,2,-5.292029,-5.292029,10.761442,0.006042,3.532047,38,38,0.9977,14855,0.9166,0.7451,0.6772,0.5686,3,46,325.3
3393,round,10,1,-5.272957,-5.272957,11.123828,0.006665,3.519748,38,38,0.9977,14855,0.9194,0.7513,0.6754,0.5752,3,47,350.3
3510,round,10,2,-5.272725,-5.272725,10.655325,0.005531,3.518837,38,37,0.9978,14855,0.9187,0.7431,0.6784,0.5575,3,47,351.5
3627,round,11,1,-5.270518,-5.270518,10.860768,0.005645,3.517442,38,38,0.9976,14855,0.9188,0.7457,0.6839,0.5654,3,45,393.0
3744,round,11,2,-5.292754,-5.292754,10.670536,0.005616,3.532246,38,38,0.9977,14855,0.9198,0.7556,0.7093,0.5993,3,45,394.2
3861,round,12,1,-5.29234,-5.29234,10.355089,0.004661,3.531334,38,38,0.9981,14855,0.9197,0.7528,0.6937,0.5848,3,48,435.6
3978,round,12,2,-5.306126,-5.306126,10.432394,0.004027,3.540102,38,38,0.9982,14855,0.9196,0.7572,0.7018,0.5861,3,48,436.8
4095,round,13,1,-5.282188,-5.282188,10.640232,0.004823,3.524674,38,37,0.9981,14855,0.9195,0.7525,0.6787,0.5586,3,46,464.1
4212,round,13,2,-5.285321,-5.285321,10.817805,0.004937,3.526839,38,38,0.9978,14855,0.9212,0.7463,0.671,0.5622,3,46,465.3
4329,round,14,1,-5.278972,-5.278972,10.794569,0.004656,3.522419,38,38,0.9981,14855,0.9184,0.7488,0.6913,0.5725,3,52,506.8
4446,round,14,2,-5.294746,-5.294746,10.79844,0.004673,3.532946,38,38,0.9983,14855,0.9206,0.7486,0.6699,0.5733,3,52,507.9
4563,round,15,1,-5.285318,-5.285318,10.99381,0.004316,3.526423,39,38,0.9984,14855,0.9189,0.7503,0.6727,0.5728,3,47,549.5
4680,round,15,2,-5.298044,-5.298044,10.711212,0.003876,3.534613,38,38,0.9983,14855,0.9206,0.7403,0.6772,0.5731,3,47,550.6
4797,round,16,1,-5.299498,-5.299498,10.887397,0.004292,3.53586,38,38,0.9983,14855,0.9185,0.7469,0.6825,0.5719,3,47,590.2
4914,round,16,2,-5.293108,-5.293108,10.800085,0.003792,3.531266,39,38,0.9985,14855,0.9202,0.7487,0.6795,0.5713,3,47,591.4
5031,round,17,1,-5.296102,-5.296102,10.640215,0.004236,3.533559,38,38,0.9983,14855,0.9192,0.7478,0.6907,0.5865,3,48,629.4
5148,round,17,2,-5.310577,-5.310577,10.556303,0.003988,3.543043,39,38,0.9985,14855,0.9203,0.7394,0.6794,0.5685,3,48,630.6
5265,round,18,1,-5.312331,-5.312331,11.030939,0.004484,3.544543,39,39,0.9983,14855,0.9187,0.7605,0.7174,0.6029,3,49,672.1
