step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-2.235368,-2.235368,1.982434,3.289713,3.683387,27,49,0.2497,813,0.2652,0.1325,0.0336,,85,1.1
14,pretrain,0,2,-2.900183,-2.900183,5.356336,2.568685,3.645912,30,47,0.4009,813,0.3848,0.1963,0.0861,,85,1.2
21,pretrain,0,3,-3.571705,-3.571705,8.138004,1.840876,3.608388,25,44,0.6083,813,0.4327,0.2406,0.1252,,85,1.2
28,pretrain,0,4,-4.029717,-4.029717,9.730274,1.145745,3.450308,29,35,0.7605,813,0.4778,0.2619,0.1653,,85,1.3
35,pretrain,0,5,-4.279531,-4.279531,11.755632,0.682734,3.308177,27,29,0.8242,813,0.4845,0.2775,0.1741,,85,1.3
42,pretrain,0,6,-4.422792,-4.422792,12.288902,0.436771,3.239709,30,31,0.8528,813,0.5093,0.3031,0.1891,,85,1.4
49,pretrain,0,7,-4.536696,-4.536696,13.129998,0.333949,3.247097,31,30,0.9068,813,0.5163,0.3031,0.1963,,85,1.5
56,pretrain,0,8,-4.679514,-4.679514,12.877099,0.21731,3.264549,31,30,0.9285,813,0.5261,0.3231,0.2055,,85,1.5
63,pretrain,0,9,-4.763084,-4.763084,13.892165,0.152403,3.276992,30,30,0.9585,813,0.5445,0.345,0.2308,,85,1.6
70,pretrain,0,10,-4.843628,-4.843628,14.186693,0.103345,3.297982,30,30,0.966,813,0.5494,0.3469,0.2336,,85,1.7
77,round,1,1,-4.820741,-4.820741,14.427927,0.081903,3.268429,31,31,0.9734,813,0.5602,0.3506,0.2402,,85,1.7
84,round,1,2,-4.866513,-4.866513,14.364783,0.076841,3.295569,32,32,0.9669,813,0.563,0.3575,0.248,,85,1.8
91,round,2,1,-4.86998,-4.86998,14.754819,0.070286,3.293511,32,30,0.9794,813,0.5604,0.355,0.242,,85,1.9
98,round,2,2,-4.855094,-4.855094,14.894431,0.070301,3.283596,32,31,0.9808,813,0.5572,0.3494,0.2398,,85,1.9
105,round,3,1,-4.900146,-4.900146,15.443896,0.053466,3.302407,32,31,0.9795,813,0.5668,0.3631,0.2442,,85,2.0
112,round,3,2,-4.872204,-4.872204,15.356688,0.042775,3.276653,32,32,0.9845,813,0.5684,0.3656,0.2483,,85,2.1
119,round,4,1,-4.943741,-4.943741,15.070599,0.050807,3.329699,32,32,0.972,813,0.5572,0.3575,0.2347,,85,2.1
126,round,4,2,-4.895361,-4.895361,15.58664,0.050172,3.297022,31,31,0.9833,813,0.5614,0.3594,0.2431,,85,2.2
133,round,5,1,-4.90306,-4.90306,15.140914,0.044515,3.298383,31,31,0.989,813,0.5668,0.3613,0.2476,,85,2.3
140,round,5,2,-4.908074,-4.908074,15.129504,0.038777,3.2979,31,31,0.9895,813,0.5728,0.3619,0.2553,,85,2.3
147,round,6,1,-4.888085,-4.888085,15.532171,0.035218,3.282202,31,31,0.9881,813,0.573,0.3744,0.2557,,85,2.4
154,round,6,2,-4.921405,-4.921405,15.234708,0.031049,3.301636,31,31,0.9897,813,0.5748,0.3681,0.2598,,85,2.5
161,round,7,1,-4.916913,-4.916913,15.553445,0.034017,3.30062,31,31,0.988,813,0.5688,0.3719,0.2529,,85,2.5
168,round,7,2,-4.911295,-4.911295,15.267139,0.025968,3.291509,31,31,0.9869,813,0.5628,0.3688,0.2453,,85,2.6
175,round,8,1,-4.948299,-4.948299,15.066832,0.03269,3.320659,31,31,0.9909,813,0.5649,0.3706,0.2514,,85,2.7
182,round,8,2,-4.945927,-4.945927,15.684676,0.027919,3.315897,31,31,0.9905,813,0.5621,0.3756,0.2444,,85,2.7
189,round,9,1,-4.915694,-4.915694,15.298065,0.024023,3.293145,31,31,0.991,813,0.5567,0.3694,0.2396,,85,2.8
196,round,9,2,-4.93684,-4.93684,15.748234,0.032475,3.312876,31,31,0.9847,813,0.5513,0.3581,0.2325,,85,2.9
203,round,10,1,-4.880304,-4.880304,15.08599,0.029686,3.273326,31,31,0.9896,813,0.5564,0.3531,0.2289,,85,2.9
210,round,10,2,-4.908648,-4.908648,15.611623,0.027859,3.291005,31,31,0.9881,813,0.563,0.3656,0.2459,,85,3.0
217,round,11,1,-4.892515,-4.892515,14.615334,0.035065,3.285054,31,31,0.9881,813,0.5595,0.37,0.2498,,85,3.1
