step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.951976,-1.958021,0.006045,3.907467,3.910325,48,50,0.0238,813,0.3684,0.2,0.0865,,85,1.1
14,pretrain,0,2,-1.951357,-1.961165,0.009809,3.906384,3.9117,41,50,0.0264,813,0.4762,0.2456,0.1581,,85,1.2
21,pretrain,0,3,-2.005379,-2.041978,0.036599,3.811794,3.902514,29,50,0.1025,813,0.5086,0.2487,0.1613,,85,1.2
28,pretrain,0,4,-2.375805,-2.607963,0.232158,3.097075,3.803359,42,50,0.1929,813,0.6294,0.3675,0.2841,,85,1.3
35,pretrain,0,5,-2.732949,-3.145235,0.412286,2.566813,3.808032,41,50,0.2662,813,0.7082,0.4994,0.4126,,85,1.3
42,pretrain,0,6,-3.077801,-3.547748,0.469947,2.157284,3.803355,41,49,0.3668,813,0.7385,0.5138,0.4735,,85,1.4
49,pretrain,0,7,-3.341697,-3.905532,0.563834,1.767736,3.782179,42,47,0.5035,813,0.7799,0.5619,0.5209,,85,1.4
56,pretrain,0,8,-3.776882,-4.208404,0.431521,1.370205,3.719073,38,47,0.5751,813,0.7932,0.6044,0.5297,,85,1.5
63,pretrain,0,9,-3.870126,-4.460687,0.59056,1.070492,3.687452,43,46,0.6495,813,0.843,0.7075,0.6626,,85,1.6
70,pretrain,0,10,-3.998631,-4.635008,0.636378,0.911426,3.697623,44,45,0.6635,813,0.8426,0.705,0.6432,,85,1.6
77,round,1,1,-3.986449,-4.710934,0.724486,0.806843,3.678518,46,44,0.7409,813,0.8703,0.7681,0.7266,,85,1.7
84,round,1,2,-4.059861,-4.904978,0.845117,0.639675,3.696436,46,47,0.7788,813,0.8844,0.7856,0.7579,,85,1.8
91,round,2,1,-4.403272,-4.991225,0.587953,0.536278,3.685002,45,44,0.7943,813,0.8744,0.795,0.7511,,85,1.8
98,round,2,2,-4.294154,-5.032349,0.738195,0.44177,3.649412,44,44,0.8287,813,0.8791,0.795,0.7439,,85,1.9
105,round,3,1,-4.412192,-5.010615,0.598423,0.397822,3.605625,43,44,0.8463,813,0.889,0.7919,0.7605,,85,2.0
112,round,3,2,-4.396194,-5.065137,0.668943,0.374339,3.626318,43,44,0.8555,813,0.8952,0.82,0.7869,,85,2.0
119,round,4,1,-4.526744,-5.122709,0.595965,0.363086,3.657197,46,45,0.8513,813,0.8878,0.8019,0.7673,,85,2.1
126,round,4,2,-4.356487,-5.157277,0.80079,0.348116,3.670262,44,45,0.8523,813,0.898,0.8094,0.7784,,85,2.2
133,round,5,1,-4.275249,-5.136586,0.861337,0.339397,3.650655,46,45,0.8749,813,0.8975,0.8237,0.7908,,85,2.3
140,round,5,2,-4.354738,-5.147797,0.793059,0.346291,3.662726,46,47,0.8469,813,0.9008,0.8313,0.7955,,85,2.3
147,round,6,1,-4.168111,-5.136307,0.968196,0.417878,3.70279,47,47,0.8343,813,0.8923,0.8094,0.7759,,85,2.4
154,round,6,2,-4.428549,-5.173652,0.745103,0.395998,3.7131,46,47,0.8612,813,0.8948,0.8269,0.7897,,85,2.5
161,round,7,1,-4.458579,-5.212417,0.753838,0.348338,3.70717,47,47,0.8648,813,0.8979,0.8213,0.7914,,85,2.5
168,round,7,2,-4.618885,-5.223749,0.604865,0.321092,3.696561,48,47,0.8703,813,0.8894,0.8063,0.7767,,85,2.6
