step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.955679,-1.955921,0.000242,3.911447,3.911578,21,50,0.0207,813,0.3981,0.2288,0.0785,,85,1.1
14,pretrain,0,2,-1.956286,-1.95653,0.000244,3.911456,3.911991,37,50,0.0228,813,0.5459,0.2744,0.1753,,85,1.2
21,pretrain,0,3,-1.988564,-2.006043,0.017479,3.858512,3.909704,20,50,0.0567,813,0.4478,0.1806,0.0953,,85,1.2
28,pretrain,0,4,-2.251898,-2.434197,0.182299,3.356865,3.860708,25,50,0.1499,813,0.5428,0.2619,0.1911,,85,1.3
35,pretrain,0,5,-2.514406,-2.855211,0.340804,2.861494,3.811137,33,50,0.1641,813,0.645,0.3969,0.262,,85,1.3
42,pretrain,0,6,-2.797934,-3.106483,0.308549,2.609197,3.810453,25,49,0.2417,813,0.6509,0.3419,0.2877,,85,1.4
49,pretrain,0,7,-2.83315,-3.298138,0.464988,2.333807,3.75463,32,46,0.2559,813,0.7117,0.4306,0.3623,,85,1.4
56,pretrain,0,8,-3.186643,-3.425773,0.239129,2.181864,3.738425,29,46,0.2734,813,0.7404,0.5062,0.4404,,85,1.5
63,pretrain,0,9,-3.363393,-3.578745,0.215352,1.98516,3.70927,36,46,0.3186,813,0.781,0.5869,0.5223,,85,1.6
70,pretrain,0,10,-3.464249,-3.804776,0.340527,1.810448,3.743482,32,46,0.4299,813,0.7838,0.5719,0.5038,,85,1.6
77,round,1,1,-3.478925,-4.037592,0.558667,1.556637,3.729486,39,47,0.4843,813,0.7848,0.55,0.4841,13,40,203.4
84,round,1,2,-3.452532,-4.202376,0.749844,1.360389,3.70851,37,47,0.5152,813,0.8256,0.63,0.5588,13,40,203.5
91,round,2,1,-3.794236,-4.33876,0.544524,1.219467,3.705485,39,46,0.5533,813,0.8332,0.6656,0.6107,15,38,284.1
98,round,2,2,-3.601871,-4.396691,0.79482,1.114965,3.674437,39,46,0.577,813,0.8583,0.6975,0.666,15,38,284.2
105,round,3,1,-3.974902,-4.483982,0.50908,1.071705,3.703791,41,46,0.6161,813,0.8716,0.7306,0.7041,14,59,304.4
112,round,3,2,-4.12819,-4.584313,0.456123,0.950674,3.689991,46,49,0.6685,813,0.8801,0.7344,0.7108,14,59,304.5
119,round,4,1,-4.31127,-4.73822,0.426951,0.817818,3.704026,41,47,0.6974,813,0.8873,0.7656,0.7352,14,85,344.9
126,round,4,2,-4.129585,-4.783324,0.65374,0.785463,3.712525,43,47,0.7056,813,0.8899,0.7738,0.7353,14,85,345.0
133,round,5,1,-4.101003,-4.827854,0.726851,0.697255,3.683406,43,48,0.7282,813,0.8887,0.7475,0.7302,17,49,445.9
140,round,5,2,-4.154183,-4.825495,0.671312,0.697277,3.681848,41,46,0.7393,813,0.8948,0.7675,0.7374,17,49,445.9
147,round,6,1,-3.91974,-4.878067,0.958327,0.686203,3.709513,42,48,0.7381,813,0.907,0.8163,0.782,16,49,466.3
154,round,6,2,-4.223721,-4.911818,0.688097,0.696359,3.738785,44,49,0.7243,813,0.9044,0.8113,0.7736,16,49,466.4
161,round,7,1,-4.258073,-4.915341,0.657268,0.703687,3.746019,46,49,0.7134,813,0.912,0.85,0.809,18,43,547.0
168,round,7,2,-4.415523,-4.929967,0.514445,0.714233,3.7628,46,48,0.7276,813,0.9066,0.8156,0.7695,18,43,547.1
175,round,8,1,-4.274436,-4.968891,0.694456,0.651603,3.746996,46,49,0.7351,813,0.913,0.8413,0.7993,19,51,607.6
182,round,8,2,-4.399552,-4.977527,0.577975,0.610711,3.725492,45,48,0.7558,813,0.9155,0.8263,0.7928,19,51,607.6
189,round,9,1,-3.994783,-4.99377,0.998986,0.609982,3.735834,47,49,0.743,813,0.9181,0.8456,0.8118,18,50,627.9
196,round,9,2,-4.152598,-5.020669,0.86807,0.592667,3.742224,46,49,0.7428,813,0.9136,0.8431,0.7938,18,50,627.9
203,round,10,1,-4.329668,-4.988527,0.658859,0.609296,3.731882,44,48,0.7688,813,0.9155,0.8506,0.8065,18,82,668.3
210,round,10,2,-4.52933,-5.039857,0.510527,0.573663,3.742347,47,49,0.7542,813,0.9084,0.8337,0.7997,18,82,668.4
217,round,11,1,-4.561767,-5.004005,0.442237,0.594597,3.732401,47,49,0.7499,813,0.9117,0.8363,0.811,18,84,708.8
224,round,11,2,-4.497648,-5.03085,0.533202,0.568723,3.733048,45,49,0.7517,813,0.9067,0.8069,0.779,18,84,708.8
231,round,12,1,-4.429472,-5.063079,0.633606,0.550982,3.742707,48,49,0.7716,813,0.9133,0.8419,0.8038,19,83,769.4
238,round,12,2,-4.578768,-5.062556,0.483787,0.55039,3.741964,48,49,0.7592,813,0.9096,0.8469,0.8128,19,83,769.4
245,round,13,1,-4.266646,-5.051074,0.784427,0.543318,3.729595,48,48,0.765,813,0.9081,0.8456,0.8114,20,52,830.0
252,round,13,2,-4.363799,-5.03315,0.669351,0.565231,3.732254,47,48,0.7556,813,0.9114,0.8438,0.8126,20,52,830.0
259,round,14,1,-4.37737,-5.006944,0.629574,0.625714,3.755106,47,49,0.7455,813,0.9137,0.8462,0.8228,19,85,850.2
266,round,14,2,-4.624244,-5.019117,0.394874,0.625173,3.76286,49,50,0.7459,813,0.9139,0.8381,0.8159,19,85,850.3
273,round,15,1,-4.543341,-5.080568,0.537227,0.585327,3.777263,47,50,0.7747,813,0.9159,0.8619,0.8332,19,85,890.7
280,round,15,2,-4.634258,-5.140891,0.506633,0.497053,3.75863,50,50,0.783,813,0.9125,0.85,0.8152,19,85,890.8
287,round,16,1,-4.444053,-5.12934,0.685287,0.485667,3.743338,49,50,0.7863,813,0.9164,0.8675,0.8381,22,35,975.8
294,round,16,2,-4.323262,-5.151508,0.828247,0.516563,3.778714,48,50,0.7696,813,0.9171,0.8562,0.8369,22,35,975.9
301,round,17,1,-4.483397,-5.092931,0.609533,0.579495,3.781617,48,50,0.769,813,0.9277,0.89,0.8667,21,38,978.9
308,round,17,2,-4.489171,-5.111335,0.622163,0.560787,3.781414,50,50,0.777,813,0.9185,0.8656,0.8388,21,38,979.0
315,round,18,1,-4.538397,-5.120379,0.581982,0.534841,3.770147,49,50,0.7858,813,0.9186,0.8519,0.8349,21,37,1005.5
322,round,18,2,-4.564514,-5.160143,0.595629,0.503143,3.775524,49,50,0.7914,813,0.9192,0.8562,0.8367,21,37,1005.6
329,round,19,1,-4.64044,-5.152715,0.512275,0.490835,3.762367,49,50,0.7927,813,0.9208,0.8612,0.8479,21,42,1045.9
336,round,19,2,-4.65548,-5.164783,0.509302,0.472358,3.758094,50,50,0.8036,813,0.916,0.8481,0.8271,21,42,1046.0
343,round,20,1,-4.597228,-5.173043,0.575815,0.450397,3.74896,50,50,0.8023,813,0.9154,0.8431,0.8249,20,83,1066.2
350,round,20,2,-4.771368,-5.100346,0.328978,0.494467,3.729875,49,50,0.7955,813,0.915,0.8494,0.8305,20,83,1066.3
