step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.955679,-1.955921,0.000242,3.911447,3.911578,21,50,0.0207,813,0.3981,0.2288,0.0785,,85,1.3
14,pretrain,0,2,-1.956286,-1.95653,0.000244,3.911456,3.911991,37,50,0.0228,813,0.5459,0.2744,0.1753,,85,1.3
21,pretrain,0,3,-1.988564,-2.006043,0.017479,3.858512,3.909704,20,50,0.0567,813,0.4478,0.1806,0.0953,,85,1.3
28,pretrain,0,4,-2.251898,-2.434197,0.182299,3.356865,3.860708,25,50,0.1499,813,0.5428,0.2619,0.1911,,85,1.4
35,pretrain,0,5,-2.514406,-2.855211,0.340804,2.861494,3.811137,33,50,0.1641,813,0.645,0.3969,0.262,,85,1.5
42,pretrain,0,6,-2.797934,-3.106483,0.308549,2.609197,3.810453,25,49,0.2417,813,0.6509,0.3419,0.2877,,85,1.5
49,pretrain,0,7,-2.83315,-3.298138,0.464988,2.333807,3.75463,32,46,0.2559,813,0.7117,0.4306,0.3623,,85,1.6
56,pretrain,0,8,-3.186643,-3.425773,0.239129,2.181864,3.738425,29,46,0.2734,813,0.7404,0.5062,0.4404,,85,1.6
63,pretrain,0,9,-3.363393,-3.578745,0.215352,1.98516,3.70927,36,46,0.3186,813,0.781,0.5869,0.5223,,85,1.7
70,pretrain,0,10,-3.464249,-3.804776,0.340527,1.810448,3.743482,32,46,0.4299,813,0.7838,0.5719,0.5038,,85,1.8
77,round,1,1,-3.520436,-4.03955,0.519115,1.557669,3.731479,39,48,0.4839,813,0.7846,0.5781,0.4901,2,69,22.0
84,round,1,2,-3.576836,-4.231375,0.654539,1.325934,3.704873,34,48,0.5448,813,0.8253,0.6088,0.5579,2,69,22.1
91,round,2,1,-3.948172,-4.375038,0.426866,1.176246,3.700856,40,45,0.5717,813,0.8323,0.6475,0.5916,3,50,43.4
98,round,2,2,-3.876642,-4.456365,0.579723,1.029679,3.657363,38,45,0.6158,813,0.8452,0.6456,0.5992,3,50,43.5
105,round,3,1,-3.944514,-4.511754,0.56724,0.990637,3.668261,40,47,0.6546,813,0.8835,0.7438,0.72,3,54,66.7
112,round,3,2,-4.099307,-4.605477,0.50617,0.937299,3.695184,44,48,0.6601,813,0.8763,0.7488,0.7081,3,54,66.8
119,round,4,1,-4.24225,-4.727602,0.485353,0.833541,3.707429,43,47,0.7162,813,0.8808,0.71,0.6832,3,59,91.1
126,round,4,2,-4.132257,-4.807764,0.675507,0.725213,3.688651,42,48,0.7506,813,0.8987,0.77,0.7557,3,59,91.2
133,round,5,1,-3.984778,-4.848091,0.863313,0.643537,3.661085,43,47,0.7422,813,0.9027,0.8031,0.7646,3,55,117.5
140,round,5,2,-4.272945,-4.827153,0.554208,0.645603,3.648504,41,46,0.7724,813,0.9083,0.7887,0.7659,3,55,117.5
147,round,6,1,-4.08445,-4.881003,0.796552,0.653988,3.689994,41,46,0.753,813,0.8965,0.7963,0.7644,3,52,140.3
154,round,6,2,-4.190385,-4.917143,0.726758,0.599001,3.677429,44,47,0.7571,813,0.8918,0.7762,0.7411,3,52,140.3
161,round,7,1,-4.155708,-4.898025,0.742317,0.602532,3.667038,44,45,0.7525,813,0.8964,0.7694,0.7564,3,56,169.5
168,round,7,2,-4.391948,-4.892646,0.500698,0.616871,3.673011,45,45,0.7613,813,0.8891,0.7619,0.7472,3,56,169.6
175,round,8,1,-4.241454,-4.910846,0.669391,0.602903,3.675833,43,45,0.767,813,0.9091,0.8019,0.7887,4,52,211.5
182,round,8,2,-4.319419,-4.90303,0.583612,0.589274,3.661536,44,46,0.7917,813,0.9086,0.8119,0.7912,4,52,211.5
189,round,9,1,-4.287886,-4.957261,0.669376,0.531604,3.659244,42,45,0.7801,813,0.9042,0.8119,0.7846,3,54,217.9
196,round,9,2,-4.13419,-4.957245,0.823055,0.566031,3.682184,43,45,0.7891,813,0.9047,0.7969,0.7826,3,54,218.0
203,round,10,1,-4.459026,-4.950425,0.4914,0.576937,3.684908,45,47,0.7801,813,0.9081,0.82,0.8003,3,54,245.2
210,round,10,2,-4.397929,-4.981427,0.583498,0.569804,3.700821,47,47,0.7829,813,0.9047,0.8187,0.7995,3,54,245.2
