step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.957864,-1.957864,0.005195,3.904993,3.908571,15,50,0.04,819,0.4303,0.2231,0.1078,,85,1.1
14,pretrain,0,2,-2.277308,-2.277308,0.723642,3.271024,3.698888,15,48,0.2658,819,0.4872,0.2487,0.1483,,85,1.2
21,pretrain,0,3,-3.017019,-3.017019,1.626353,2.405612,3.615087,31,45,0.4218,819,0.5507,0.3137,0.2481,,85,1.2
28,pretrain,0,4,-3.659673,-3.659673,3.561106,1.717602,3.58485,37,46,0.5606,819,0.5664,0.3556,0.2735,,85,1.3
35,pretrain,0,5,-4.069413,-4.069413,5.645701,1.217688,3.524734,36,42,0.6411,819,0.5772,0.3719,0.2801,,85,1.3
42,pretrain,0,6,-4.349513,-4.349513,7.878362,0.883992,3.489004,39,38,0.7229,819,0.6107,0.4169,0.3294,,85,1.4
49,pretrain,0,7,-4.560046,-4.560046,7.671588,0.69543,3.503651,37,38,0.7905,819,0.6216,0.4238,0.3338,,85,1.4
56,pretrain,0,8,-4.686455,-4.686455,8.290937,0.496336,3.455194,41,39,0.8358,819,0.6348,0.4406,0.3483,,85,1.5
63,pretrain,0,9,-4.812642,-4.812642,9.346533,0.35064,3.442188,39,37,0.8777,819,0.6359,0.4631,0.3574,,85,1.6
70,pretrain,0,10,-4.905516,-4.905516,9.881394,0.26339,3.445937,38,37,0.9139,819,0.6642,0.5175,0.4059,,85,1.6
77,round,1,1,-4.937187,-4.937187,10.238957,0.210904,3.432061,39,39,0.9233,819,0.6647,0.4963,0.4003,,85,1.7
84,round,1,2,-4.969379,-4.969379,10.824497,0.185117,3.43633,38,38,0.928,819,0.6656,0.51,0.4096,,85,1.8
91,round,2,1,-4.964283,-4.964283,10.751893,0.177625,3.427939,38,38,0.9453,819,0.6828,0.5331,0.4369,,85,1.8
98,round,2,2,-5.073812,-5.073812,11.75951,0.134308,3.47208,38,37,0.9515,819,0.6811,0.5256,0.4123,,85,1.9
105,round,3,1,-5.051273,-5.051273,11.361334,0.122609,3.449254,38,38,0.9516,819,0.6722,0.5112,0.3967,,85,2.0
