step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-0.978103,-0.978558,0.000455,3.911154,3.91177,34,50,0.0241,813,0.5645,0.3044,0.1994,,85,1.1
14,pretrain,0,2,-1.050634,-1.1123,0.061666,3.758354,3.896523,32,50,0.0736,813,0.5938,0.315,0.2149,,85,1.2
21,pretrain,0,3,-1.381059,-1.620106,0.239046,3.168583,3.830951,26,50,0.1781,813,0.5755,0.2831,0.1868,,85,1.2
28,pretrain,0,4,-1.644322,-2.017807,0.373486,2.63483,3.72211,20,48,0.2947,813,0.6401,0.3113,0.2564,,85,1.3
35,pretrain,0,5,-1.911957,-2.32387,0.411913,2.177607,3.601182,26,41,0.3219,813,0.6999,0.4206,0.3176,,85,1.3
42,pretrain,0,6,-2.264733,-2.614726,0.349993,1.8874,3.601701,25,38,0.4449,813,0.7482,0.485,0.4059,,85,1.4
49,pretrain,0,7,-2.318055,-2.877208,0.559153,1.520587,3.518236,28,37,0.5396,813,0.7558,0.4825,0.3969,,85,1.5
56,pretrain,0,8,-2.699479,-3.016209,0.31673,1.252279,3.41479,25,34,0.6397,813,0.7944,0.5138,0.4643,,85,1.5
63,pretrain,0,9,-2.83788,-3.21278,0.374901,0.994607,3.36591,26,35,0.6756,813,0.808,0.5437,0.4876,,85,1.6
70,pretrain,0,10,-2.860566,-3.383729,0.523163,0.882759,3.41319,29,36,0.7099,813,0.8195,0.5631,0.5003,,85,1.7
77,round,1,1,-2.877647,-3.382981,0.505334,0.808084,3.352852,30,34,0.7233,813,0.8405,0.6238,0.5673,,85,1.7
84,round,1,2,-2.921169,-3.503256,0.582087,0.743938,3.397755,35,36,0.7226,813,0.8466,0.6325,0.5867,,85,1.8
91,round,2,1,-3.120754,-3.575145,0.454391,0.650341,3.380389,32,33,0.7621,813,0.8479,0.6444,0.5882,,85,1.9
98,round,2,2,-3.19809,-3.598237,0.400147,0.587998,3.348987,33,36,0.7764,813,0.8635,0.6556,0.6095,,85,1.9
105,round,3,1,-3.260551,-3.663289,0.402738,0.564421,3.382168,32,37,0.8086,813,0.8654,0.6544,0.6083,,85,2.0
112,round,3,2,-3.190796,-3.711857,0.521061,0.523588,3.388356,36,36,0.7978,813,0.8758,0.7075,0.6457,,85,2.1
119,round,4,1,-3.426645,-3.806623,0.379978,0.483083,3.431765,38,39,0.7988,813,0.8735,0.6906,0.6369,,85,2.1
126,round,4,2,-3.204772,-3.831872,0.6271,0.48409,3.452769,39,40,0.7939,813,0.8699,0.6775,0.6182,,85,2.2
133,round,5,1,-3.195412,-3.823335,0.627923,0.486105,3.447552,39,40,0.8127,813,0.8685,0.6775,0.6217,,85,2.3
140,round,5,2,-3.289408,-3.821544,0.532136,0.460667,3.425769,36,39,0.8232,813,0.8769,0.69,0.6349,,85,2.3
