step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-1.95557,-1.955858,0.000288,3.911236,3.911396,20,50,0.0207,819,0.394,0.2256,0.0695,,85,1.1
14,pretrain,0,2,-1.956252,-1.956445,0.000192,3.911501,3.911964,26,50,0.0227,819,0.521,0.2706,0.1666,,85,1.2
21,pretrain,0,3,-1.985815,-2.006078,0.020263,3.854537,3.907077,11,50,0.0577,819,0.3097,0.11,0.0407,,85,1.2
28,pretrain,0,4,-2.209162,-2.369222,0.16006,3.39221,3.840955,18,50,0.0591,819,0.477,0.2075,0.1181,,85,1.3
35,pretrain,0,5,-2.391667,-2.555254,0.163587,3.237573,3.861885,18,50,0.0585,819,0.5412,0.2644,0.1877,,85,1.3
42,pretrain,0,6,-2.539471,-2.589427,0.049956,3.222708,3.874757,16,50,0.0682,819,0.4741,0.195,0.107,,85,1.4
49,pretrain,0,7,-2.65522,-2.701002,0.045782,3.105059,3.870708,26,50,0.0936,819,0.6314,0.3531,0.269,,85,1.5
56,pretrain,0,8,-2.749114,-2.886704,0.13759,2.902678,3.859588,25,50,0.1418,819,0.6375,0.3762,0.2878,,85,1.5
63,pretrain,0,9,-2.741646,-3.067948,0.326302,2.673818,3.827844,26,49,0.1809,819,0.6714,0.4131,0.2971,,85,1.6
70,pretrain,0,10,-2.946995,-3.204171,0.257176,2.445201,3.766248,27,48,0.2818,819,0.6874,0.3894,0.3361,,85,1.6
77,round,1,1,-3.235898,-3.486824,0.250925,2.096789,3.722408,36,49,0.3177,819,0.7296,0.4412,0.3904,,85,1.7
84,round,1,2,-3.276494,-3.76143,0.484936,1.825125,3.72437,34,48,0.39,819,0.7579,0.5075,0.4421,,85,1.8
91,round,2,1,-3.39206,-3.953421,0.561361,1.598225,3.701098,38,46,0.4246,819,0.7966,0.5744,0.5443,,85,1.9
98,round,2,2,-3.729657,-4.076467,0.34681,1.496096,3.715042,39,47,0.4595,819,0.8093,0.5737,0.568,,85,1.9
