step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-0.003381,-0.015925,0.012544,3.88929,3.905216,23,50,0.0782,1600,0.4457,0.2162,0.1217,,85,1.1
14,pretrain,0,2,-0.305281,-0.666357,0.361076,2.796831,3.463188,11,29,0.5451,1600,0.498,0.2019,0.133,,85,1.2
21,pretrain,0,3,-0.741669,-1.421846,0.680177,1.385758,2.807604,10,23,0.7225,1600,0.6259,0.255,0.2358,,85,1.2
28,pretrain,0,4,-1.194552,-1.742404,0.547852,0.711846,2.45425,9,11,0.8829,1600,0.6644,0.2687,0.2536,,85,1.3
35,pretrain,0,5,-1.390732,-1.893543,0.502811,0.434739,2.328282,10,13,0.9016,1600,0.698,0.2844,0.2792,,85,1.3
42,pretrain,0,6,-1.579054,-2.03817,0.459116,0.337278,2.375447,13,15,0.8927,1600,0.7373,0.3494,0.3263,,85,1.4
49,pretrain,0,7,-1.568012,-2.146716,0.578704,0.291243,2.437959,12,15,0.9291,1600,0.7502,0.35,0.3369,,85,1.5
56,pretrain,0,8,-1.496152,-2.202,0.705848,0.242952,2.444953,13,15,0.9386,1600,0.7491,0.3506,0.3369,,85,1.5
63,pretrain,0,9,-1.771289,-2.176874,0.405586,0.218188,2.395063,13,16,0.9416,1600,0.7494,0.3506,0.3386,,85,1.6
70,pretrain,0,10,-1.702208,-2.205246,0.503038,0.218336,2.423582,12,16,0.9412,1600,0.7539,0.3513,0.3402,,85,1.7
77,round,1,1,-1.615284,-2.204027,0.588743,0.203161,2.407187,12,16,0.9393,1600,0.755,0.3506,0.3407,2,69,22.0
84,round,1,2,-1.598174,-2.175648,0.577473,0.275833,2.451481,13,16,0.9267,1600,0.7505,0.3469,0.3333,2,69,22.0
91,round,2,1,-1.787462,-2.175636,0.388174,0.267026,2.442663,15,18,0.9197,1600,0.7617,0.365,0.3453,2,70,42.3
98,round,2,2,-1.923319,-2.21997,0.296652,0.238474,2.458444,15,18,0.9343,1600,0.7609,0.3713,0.3422,2,70,42.3
105,round,3,1,-1.80324,-2.25682,0.453581,0.178026,2.434847,15,17,0.9469,1600,0.7687,0.3681,0.3495,2,78,62.5
112,round,3,2,-1.851099,-2.277515,0.426416,0.168207,2.445722,14,18,0.9342,1600,0.7704,0.3688,0.3506,2,78,62.6
119,round,4,1,-1.826888,-2.233561,0.406673,0.234211,2.467772,17,18,0.9386,1600,0.765,0.3706,0.3447,2,79,82.8
126,round,4,2,-1.680839,-2.257896,0.577057,0.201513,2.459409,14,16,0.9427,1600,0.7713,0.3694,0.3508,2,79,82.9
133,round,5,1,-1.828679,-2.194257,0.365578,0.279882,2.474139,14,16,0.9344,1600,0.7679,0.3675,0.349,2,72,103.1
140,round,5,2,-1.867598,-2.265141,0.397543,0.192759,2.457901,13,15,0.9464,1600,0.7678,0.3694,0.3497,2,72,103.2
147,round,6,1,-1.711084,-2.273785,0.562701,0.182264,2.456049,13,16,0.9456,1600,0.765,0.3688,0.3481,2,71,123.4
154,round,6,2,-1.867885,-2.24699,0.379105,0.231745,2.478736,14,16,0.933,1600,0.7637,0.3681,0.3484,2,71,123.5
161,round,7,1,-1.795278,-2.242155,0.446877,0.210951,2.453106,14,16,0.9381,1600,0.7635,0.37,0.3462,2,72,143.7
168,round,7,2,-1.835387,-2.26349,0.428103,0.199749,2.463239,16,16,0.9408,1600,0.7621,0.3663,0.3445,2,72,143.8
175,round,8,1,-1.766386,-2.271021,0.504635,0.195507,2.466528,14,16,0.9382,1600,0.763,0.3663,0.347,3,62,184.1
182,round,8,2,-1.773572,-2.240007,0.466435,0.214709,2.454716,15,17,0.9288,1600,0.7618,0.3625,0.343,3,62,184.1
189,round,9,1,-1.785891,-2.208831,0.42294,0.242512,2.451343,14,17,0.9363,1600,0.7676,0.3638,0.3456,2,77,204.3
196,round,9,2,-1.819315,-2.256923,0.437608,0.202007,2.45893,13,18,0.9326,1600,0.7652,0.3706,0.3485,2,77,204.3
203,round,10,1,-1.842916,-2.20175,0.358833,0.243017,2.444766,13,17,0.9327,1600,0.7657,0.37,0.3485,2,72,224.5
210,round,10,2,-1.856014,-2.269556,0.413542,0.208662,2.478218,13,17,0.9395,1600,0.7729,0.3713,0.3523,2,72,224.6
217,round,11,1,-1.891756,-2.267209,0.375453,0.193805,2.461014,13,17,0.9433,1600,0.7707,0.3706,0.3511,2,69,244.8
224,round,11,2,-1.884604,-2.285327,0.400723,0.176435,2.461762,13,17,0.9441,1600,0.7718,0.3706,0.3519,2,69,244.9
231,round,12,1,-1.874332,-2.261806,0.387474,0.214702,2.476508,13,17,0.9444,1600,0.7712,0.3706,0.3515,2,71,265.1
238,round,12,2,-1.878181,-2.27179,0.393609,0.167068,2.438859,14,17,0.9459,1600,0.7701,0.37,0.3508,2,71,265.2
245,round,13,1,-1.902636,-2.265359,0.362723,0.181126,2.446485,14,17,0.9429,1600,0.7702,0.3694,0.3508,2,71,285.4
252,round,13,2,-1.826484,-2.272123,0.445639,0.176483,2.448606,14,17,0.9427,1600,0.7688,0.3694,0.3507,2,71,285.4
259,round,14,1,-1.841574,-2.278315,0.436741,0.198789,2.477104,16,17,0.9377,1600,0.7682,0.3744,0.3466,2,82,305.7
266,round,14,2,-1.819286,-2.242675,0.423388,0.209803,2.452477,16,17,0.9378,1600,0.7687,0.3681,0.3445,2,82,305.7
273,round,15,1,-1.723398,-2.226743,0.503345,0.217726,2.444468,15,17,0.9356,1600,0.7621,0.365,0.341,3,58,346.0
280,round,15,2,-1.730603,-2.208402,0.4778,0.250637,2.459039,15,18,0.9283,1600,0.7627,0.3619,0.3407,3,58,346.1
