step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,0.004159,-0.003929,0.008088,3.904075,3.908003,29,50,0.0279,813,0.3113,0.1569,0.0429,,85,1.1
14,pretrain,0,2,0.00207,-0.02816,0.03023,3.868284,3.896444,21,50,0.0563,813,0.3889,0.1656,0.0915,,85,1.2
21,pretrain,0,3,-0.239089,-0.43328,0.194191,3.183254,3.616534,8,44,0.4039,813,0.3977,0.1544,0.0903,,85,1.2
28,pretrain,0,4,-0.680065,-1.059003,0.378938,1.922045,2.981048,15,34,0.6029,813,0.4939,0.2081,0.1196,,85,1.3
35,pretrain,0,5,-0.951544,-1.343904,0.392359,1.44081,2.784714,15,28,0.6239,813,0.6293,0.2875,0.2146,,85,1.3
42,pretrain,0,6,-1.253357,-1.593104,0.339747,1.209169,2.802273,16,25,0.6777,813,0.6502,0.2969,0.2255,,85,1.4
49,pretrain,0,7,-1.060964,-1.768707,0.707743,0.903079,2.671785,18,20,0.7652,813,0.6548,0.2894,0.2201,,85,1.4
56,pretrain,0,8,-1.433276,-1.831764,0.398488,0.700733,2.532497,16,21,0.7715,813,0.6566,0.295,0.2226,,85,1.5
63,pretrain,0,9,-1.515571,-1.911833,0.396263,0.600341,2.512174,14,18,0.8388,813,0.6659,0.2825,0.2342,,85,1.6
70,pretrain,0,10,-1.671208,-1.995973,0.324765,0.519473,2.515446,16,19,0.8388,813,0.6827,0.325,0.2435,,85,1.6
77,round,1,1,-1.509266,-1.989683,0.480417,0.479481,2.469163,15,16,0.877,813,0.678,0.3231,0.2389,3,60,42.0
84,round,1,2,-1.750098,-2.101437,0.351339,0.383953,2.485389,14,14,0.9011,813,0.705,0.3469,0.2742,3,60,42.1
91,round,2,1,-1.788608,-2.177529,0.388921,0.292151,2.46968,17,14,0.9209,813,0.723,0.3794,0.2844,2,72,62.3
98,round,2,2,-1.901369,-2.187178,0.285809,0.266332,2.45351,19,14,0.927,813,0.7253,0.3812,0.2883,2,72,62.3
105,round,3,1,-1.787423,-2.239905,0.452481,0.326137,2.566042,20,19,0.9025,813,0.7223,0.3837,0.281,4,53,102.8
112,round,3,2,-1.694871,-2.239908,0.545037,0.303406,2.543313,19,18,0.9252,813,0.7319,0.3869,0.2839,4,53,102.8
119,round,4,1,-2.014525,-2.271869,0.257344,0.277562,2.549431,19,17,0.9325,813,0.7315,0.3931,0.2862,3,68,123.0
126,round,4,2,-1.750681,-2.301996,0.551316,0.199474,2.50147,20,16,0.9477,813,0.7248,0.3806,0.2791,3,68,123.1
133,round,5,1,-1.799821,-2.319792,0.519971,0.195482,2.515274,20,17,0.9507,813,0.7354,0.4,0.2908,4,59,163.4
140,round,5,2,-1.869343,-2.299877,0.430534,0.189566,2.489443,19,20,0.9473,813,0.7371,0.4,0.2918,4,59,163.5
147,round,6,1,-1.745412,-2.319348,0.573936,0.200768,2.520116,20,19,0.9408,813,0.7371,0.3969,0.2947,4,51,203.7
154,round,6,2,-1.9879,-2.380333,0.392433,0.153814,2.534147,20,19,0.949,813,0.7371,0.3912,0.2961,4,51,203.8
161,round,7,1,-2.007689,-2.367207,0.359518,0.179037,2.546244,18,18,0.9371,813,0.7346,0.3962,0.296,4,57,244.1
168,round,7,2,-1.854248,-2.331275,0.477027,0.213746,2.545021,20,19,0.9224,813,0.7244,0.3725,0.2867,4,57,244.2
175,round,8,1,-1.898239,-2.350136,0.451897,0.253789,2.603925,21,22,0.9211,813,0.7348,0.3856,0.3036,4,54,284.4
