step,phase,round,epoch,loss_total,loss_mi,loss_pairwise,h_y_given_x,h_y,active_argmax,active_mass,mean_max_prob,n_pairs,nmi,acc,ari,ilp_beta,ilp_n_tags,seconds
7,pretrain,0,1,-0.002579,-0.005792,0.003213,3.905388,3.91118,19,50,0.0378,813,0.5369,0.2681,0.1514,,85,1.1
14,pretrain,0,2,-0.184618,-0.375852,0.191233,3.358205,3.734057,12,37,0.1828,813,0.4579,0.17,0.0894,,85,1.1
21,pretrain,0,3,-0.505108,-0.835722,0.330615,2.498286,3.334009,9,32,0.4669,813,0.49,0.1888,0.1204,,85,1.2
28,pretrain,0,4,-0.827909,-1.173083,0.345174,1.729705,2.902788,9,29,0.6038,813,0.5418,0.1731,0.1478,,85,1.2
35,pretrain,0,5,-1.161917,-1.427425,0.265509,1.289896,2.717322,10,20,0.6795,813,0.6,0.2181,0.187,,85,1.3
42,pretrain,0,6,-1.417135,-1.636005,0.21887,0.93331,2.569314,11,22,0.7525,813,0.6369,0.2425,0.2093,,85,1.4
49,pretrain,0,7,-1.292259,-1.743298,0.451038,0.823653,2.56695,11,19,0.791,813,0.6737,0.2737,0.2523,,85,1.4
56,pretrain,0,8,-1.592863,-1.890832,0.297969,0.725939,2.616772,12,19,0.763,813,0.6957,0.2956,0.2959,,85,1.5
63,pretrain,0,9,-1.708509,-1.968133,0.259624,0.669636,2.637769,14,17,0.7861,813,0.7056,0.3269,0.2966,,85,1.6
70,pretrain,0,10,-1.823389,-2.065337,0.241948,0.540655,2.605992,15,16,0.8417,813,0.7247,0.3569,0.3203,,85,1.6
77,round,1,1,-1.627632,-2.138578,0.510946,0.397885,2.536463,14,15,0.8851,813,0.7493,0.3844,0.3392,3,52,42.0
84,round,1,2,-1.722858,-2.21444,0.491583,0.282179,2.496619,14,15,0.9203,813,0.7456,0.3881,0.3423,3,52,42.1
91,round,2,1,-1.898975,-2.286083,0.387108,0.24247,2.528553,13,16,0.9349,813,0.7464,0.3706,0.343,2,81,62.2
98,round,2,2,-1.894576,-2.280693,0.386117,0.230037,2.51073,15,17,0.9165,813,0.7639,0.4094,0.3539,2,81,62.3
105,round,3,1,-1.915911,-2.286191,0.37028,0.277018,2.563209,15,17,0.9096,813,0.7576,0.4088,0.3564,3,52,102.6
112,round,3,2,-1.945054,-2.305041,0.359987,0.246356,2.551397,16,17,0.9376,813,0.7688,0.4113,0.3586,3,52,102.7
119,round,4,1,-2.08466,-2.380746,0.296087,0.184792,2.565538,16,16,0.9559,813,0.7727,0.43,0.3629,3,55,143.0
126,round,4,2,-1.900164,-2.422301,0.522137,0.15152,2.573821,16,16,0.9596,813,0.7777,0.4319,0.3702,3,55,143.0
133,round,5,1,-1.884532,-2.398891,0.514359,0.169569,2.568459,17,16,0.9473,813,0.7729,0.4294,0.3639,3,55,183.3
140,round,5,2,-1.999055,-2.380517,0.381462,0.195237,2.575754,18,19,0.9449,813,0.7798,0.4375,0.3674,3,55,183.3
147,round,6,1,-1.898481,-2.41749,0.519009,0.203451,2.620941,18,18,0.9477,813,0.7844,0.4494,0.3728,3,62,223.6
154,round,6,2,-2.151449,-2.441148,0.2897,0.193504,2.634652,19,18,0.9492,813,0.7863,0.465,0.375,3,62,223.7
161,round,7,1,-1.920165,-2.451723,0.531557,0.1726,2.624323,19,19,0.9492,813,0.7898,0.4669,0.3809,3,68,263.9
168,round,7,2,-2.031756,-2.434877,0.403121,0.192119,2.626996,19,19,0.9397,813,0.7868,0.4625,0.3828,3,68,264.0
175,round,8,1,-2.090569,-2.450092,0.359523,0.186866,2.636958,19,19,0.9596,813,0.7892,0.4675,0.386,3,68,304.3
182,round,8,2,-2.088449,-2.469449,0.381,0.139265,2.608714,19,19,0.9607,813,0.7903,0.47,0.3869,3,68,304.4
189,round,9,1,-2.050873,-2.505505,0.454632,0.133096,2.6386,19,19,0.9596,813,0.7938,0.4688,0.3909,3,70,344.6
196,round,9,2,-1.982751,-2.481447,0.498696,0.172817,2.654264,19,19,0.9503,813,0.7851,0.4675,0.3867,3,70,344.7
203,round,10,1,-2.086668,-2.425178,0.33851,0.213448,2.638626,19,19,0.9448,813,0.7918,0.4713,0.3896,3,63,385.0
210,round,10,2,-2.066154,-2.471175,0.405021,0.215719,2.686894,19,19,0.9555,813,0.7902,0.4725,0.3907,3,63,385.1
217,round,11,1,-2.127221,-2.51984,0.392619,0.137703,2.657543,19,19,0.9771,813,0.7959,0.4744,0.3923,3,66,425.3
224,round,11,2,-2.144349,-2.540449,0.3961,0.109139,2.649588,19,19,0.9721,813,0.7989,0.4775,0.3958,3,66,425.4
231,round,12,1,-2.019169,-2.541954,0.522785,0.137487,2.679441,19,19,0.9715,813,0.7969,0.4769,0.3955,4,52,485.8
238,round,12,2,-2.206623,-2.532508,0.325884,0.122267,2.654775,19,19,0.9613,813,0.794,0.4731,0.3932,4,52,485.8
245,round,13,1,-2.012688,-2.489341,0.476653,0.144224,2.633565,18,18,0.9658,813,0.7902,0.4569,0.3889,3,70,506.0
252,round,13,2,-2.000517,-2.472201,0.471684,0.146819,2.61902,19,18,0.9522,813,0.7911,0.46,0.394,3,70,506.1
259,round,14,1,-2.098966,-2.504578,0.405612,0.181694,2.686272,19,19,0.9645,813,0.7921,0.4606,0.3958,3,68,546.3
266,round,14,2,-2.278132,-2.491539,0.213407,0.138991,2.63053,19,19,0.9659,813,0.795,0.475,0.3958,3,68,546.4
273,round,15,1,-2.071049,-2.520353,0.449304,0.107979,2.628333,19,19,0.9776,813,0.799,0.4781,0.3984,3,68,586.7
280,round,15,2,-2.240791,-2.550881,0.310091,0.117193,2.668074,19,19,0.9693,813,0.8015,0.4794,0.402,3,68,586.8
